Column
User id
Day in study
Week day
Cycle number
Cycle day
First day of period
"Period (0-no, 1-yes)"
"Hormonal mood (0-no hormonal moods, 4-worst hormonal moods)"
"Energy / fatigue (0-most fatigued, 10-most energetic)"
"Burning feet (0-no burning, 4-worst burning)"
Nurofen forte (times)
"Multiple bowel movement (0, 3 -more than 6)"
"Pain before / during bowel movement (0-no pain, 4-worst pain)"
"Pain after intercourse (0-no pain, 4-worst pain)"
"Aura (0-no, 1-yes)"
"Sobada (0-no, 1-yes)"
"Bladder pain (0-no pain, 4-worst pain)"
"High / low libido (0-no libido, 4-high libido)"
"Carpal tunnel syndrome (0-no pain, 4-worst pain)"
"Lower abdominal stabbing pain (0-no pain, 4-worst pain)"
"Painful penetration / intercourse (0-no pain, 4-worst pain)"
"Yoga (0-no, 1-yes)"
"Painful orgasm (0-no pain, 4-worst pain)"
"Fainting (0-no, 1-yes)"
"Appetite (0-no appetite, 10-most appetite)"
"Chest pain (0-no pain, 10-worst pain)"
"Brain fatigue / brain fog (0-no fatigue, 10-worst fatigue)"
"Vaginal dryness (0-no dryness, 10-most pain)"
"Painful intercourse (0-no pain, 10-worst pain)"
"Desire to eat sweet food (0-no appetite, 10-most appetite)"
"Abdominal cramps (0-no pain, 10-worst pain)"
"High / low libido (0-no libido, 10-high libido)"
"Painful penetration during intercourse (0-no pain, 10-worst pain)"
"Muscle weakness / fatigue (0-no fatigue, 10-worst fatigue)"
"Numbness in the feet (0-no numbness, 10-worst numbness)"
"Gas (0-no pain, 4-worst pain)"
"Anxiety (0-no anxiety, 4-worst anxiety)"
"Vomiting (0-no vomiting, 4-worst vomiting)"
Nurofen (times)
"Pelvic pressure (0-no pain, 4-worst pain)"
"Navel pain (0-no pain, 4-worst pain)"
"General emotional condition (1-bad, 4-amazing)"
"General physical condition (1-bad, 4-amazing)"
"Visual disturbances (0-no disturbance, 4-worst disturbance)"
"Groin pain - right (0-no pain, 4-worst pain)"
"Pain radiating down the front leg (0-no pain, 4-worst pain)"
"Pain radiating down the back leg (0-no pain, 4-worst pain)"
"Rib / chest pain right side (0-no pain, 4-worst pain)"
"Shoulder / neck / scapula pain right side (0-no pain, 4-worst pain)"
"Incomplete urination and / or difficulty urinate (0-no pain, 4-worst pain)"
"Urgency urination (0-no urgency, 4-worst urgency)"
Ibufen (times)
"Waist pain (0-no pain, 4-worst pain)"
"Rib pain (0-no pain, 4-worst pain)"
"Eye infection (0-no infection, 10-worst infection)"
"Sore feet (0-no pain, 4-worst pain)"
"Neck and scapula pain (0-no pain, 4-worst pain)"
"Pain radiating to the buttock (0-no pain, 4-worst pain)"
"Leg cramps (0-no pain, 4-worst pain)"
"Painful penetration during intercourse (0-no pain, 4-worst pain)"
"Diarrhea (0-no diarrhea, 4-worst diarrhea)"
"Eye pain / pressure (0-no pain, 4-worst pain)"
"Swelling of the lower limbs (0-no swelling, 4-worst swelling)"
A good day (0-1)
"Groin pain (0-no pain, 4-worst pain)"
"Lower abdominal dull-aching pain (0-no pain, 4-worst pain)"
Lorivan (times)
Microlet (times)
"Painful penetration during intercourse / painful intercourse / vaginal dryness (0-no pain, 4-worst pain)"
"Sjogren's eyes (0-no pain, 4-worst pain)"
"Sjogren's neck / throat (0-no pain, 4-worst pain)"
Omepradex (times)
"Hot flushes (0-no hot flushes, 4-worst hot flushes)"
Abitren (times)
"Acne (0-no acne, 10-worst acne)"
"Depression (0-no depression, 10-worst depression)"
"Hot flushes (0-no hot flushes, 10-worst hot flushes)"
"Vulval pain (0-no pain, 10-worst pain)"
Combodex (times)
"Neck pain (0-no pain, 10-worst pain)"
"Insomnia (0-no insomnia, 10-worst insomnia)"
"Joint pain (0-no pain, 10-worst pain)"
"Bloating (0-no bloating, 10-worst bloating)"
"Anger (0-no anger, 10-worst anger)"
"Urination pain (0-no pain, 10-worst pain)"
"Difficulty urinating (0-no problem, 10--most difficulty)"
